Temperature,Relative Humidity,Pressure
28.86,63.75,97.93
28.95,61.31,97.93
28.69,61.38,97.94
28.33,62.31,97.94
27.88,63.94,97.91
27.4,65.38,97.89
26.82,67,97.88
26.08,69.69,97.9
25.4,72.12,97.94
25.98,71.94,98
27.3,64.94,98.06
30.43,54.5,98.09
32.55,49,98.09
33.48,47.56,98.04
33.84,47.06,97.97
34.13,46.19,97.86
34.15,45.81,97.76
34.01,45.06,97.68
33.51,45.12,97.63
32.44,48.38,97.64
30.05,59.62,97.66
28.07,64.62,97.7
27.76,64.06,97.75
27.97,61.06,97.79
28.13,58.75,97.82
27.84,59.88,97.82
27.39,61.75,97.79
26.67,64.75,97.76
25.83,67.88,97.74
25.19,69.75,97.72
24.68,70.75,97.72
24.27,71.81,97.74
24.1,71.81,97.81
25.07,70.25,97.9
26.73,64.19,97.99
29.76,55.62,98.04
32.71,48.69,98.04
33.83,46.44,97.98
34.42,45.69,97.91
34.67,46.25,97.83
34.56,47.69,97.76
34.28,49,97.68
33.69,50.75,97.64
32.67,54.62,97.62
31,63,97.63
30.01,63.5,97.66
30.3,59.69,97.7
29.65,61.25,97.76
28.78,63.94,97.8
28.08,66.12,97.82
27.6,67.06,97.82
27.14,68,97.8
27.02,67.44,97.78
26.62,68.62,97.75
26.22,70.19,97.74
25.83,71.88,97.73
25.5,73.81,97.76
25.87,75.38,97.82
28.09,65.38,97.9
31.59,52.88,97.95
33.73,47.94,97.97
34.95,45.69,97.94
35.8,44.44,97.88
36.33,43.81,97.79
36.31,44.81,97.69
35.91,46.19,97.6
35.19,48.62,97.57
34.12,53.12,97.56
32.16,62.5,97.57
30.56,66.44,97.59
30.22,66.31,97.64
29.14,69.31,97.7
28.25,70.62,97.75
27.55,71.31,97.76
26.9,72.25,97.75
26.31,73.62,97.73
25.83,75.19,97.7
25.41,77.06,97.68
25.11,78.94,97.66
24.9,80.31,97.66
24.75,81.56,97.69
26.01,77,97.74
28.08,70.81,97.8
31.31,59.62,97.84
34.05,50.94,97.84
35.47,47.75,97.8
36.19,46.5,97.73
36.61,45.44,97.65
36.75,44.81,97.56
36.54,44.56,97.5
36.02,44.88,97.47
34.98,48.06,97.49
32.7,57.75,97.52
30.71,62.62,97.57
30.11,64.38,97.63
29.49,66,97.68
28.8,67.56,97.7
28.14,68.94,97.7
27.55,70.12,97.68
27.08,70.62,97.66
26.67,70.62,97.63
26.01,72.69,97.6
25.46,75,97.58
25.06,76.94,97.58
24.73,78.75,97.61
25.89,74.88,97.68
28,68.25,97.76
31.73,53.62,97.82
33.76,47.25,97.84
35.13,43.62,97.81
36.08,40.94,97.73
36.73,39.06,97.64
37.05,37.69,97.55
36.96,37.31,97.49
36.39,38.44,97.45
35.23,42.19,97.45
32.49,53.88,97.45
30.47,58.38,97.46
30.13,58.75,97.5
29.94,58.31,97.55
29.25,60.12,97.6
28.27,63.56,97.61
27.62,65.62,97.61
27.22,66.56,97.61
26.85,67.94,97.59
26.57,68.62,97.6
26.65,67.12,97.61
26.54,67.12,97.65
26.11,72.06,97.69
26.59,69.31,97.74
28.08,64,97.8
32.1,48.56,97.85
34.44,42.75,97.85
35.56,41.06,97.81
36.23,40.06,97.74
36.62,39.69,97.66
36.55,39.75,97.57
36.02,40.69,97.5
35.11,43.12,97.47
33.69,48.38,97.48
31.53,57.62,97.49
29.55,64.62,97.52
28.87,66.81,97.57
28.43,67.69,97.61
28.3,66.81,97.63
28.18,65.94,97.62
27.69,67.31,97.62
26.89,70.75,97.61
26.08,74.31,97.59
25.51,76.88,97.59
25.02,79.06,97.61
24.51,81.69,97.64
23.98,84.75,97.7
25.11,81.25,97.77
27.45,69.75,97.85
31.23,48.88,97.89
33.08,42.44,97.87
34.4,38.75,97.81
35.49,36.19,97.72
36.27,34.25,97.61
36.57,33.5,97.49
36.23,34.31,97.4
35.26,37.5,97.36
33.61,44,97.35
31.14,54.56,97.37
29.04,62.5,97.4
28.43,65.06,97.44
28.06,66.06,97.47
27.95,65,97.49
27.61,65.06,97.5
27.2,65.69,97.51
26.86,65.62,97.5
26.22,67.19,97.49
25.41,70.31,97.48
24.94,72.25,97.49
24.61,73.56,97.53
24.21,75.19,97.57
25.49,71.88,97.62
27.79,62.44,97.65
31.69,49.62,97.66
33.7,44.56,97.64
35.08,41.56,97.62
36.15,39.12,97.55
36.89,37.5,97.48
37.16,36.69,97.38
36.9,36.38,97.3
36.09,36.81,97.26
34.69,39.88,97.26
31.9,50.5,97.31
29.8,56.12,97.37
29.18,57.69,97.44
28.54,59.62,97.5
27.96,61.56,97.54
27.36,64.06,97.54
26.74,67.56,97.53
26.31,71.19,97.51
26.32,73.88,97.48
26.22,77.31,97.46
25.98,80.81,97.47
25.73,83.81,97.5
25.39,87.06,97.57
26.44,83.69,97.67
29.05,68.44,97.76
31.58,55.06,97.81
33.23,49.19,97.8
34.53,46.31,97.77
35.65,44.31,97.7
36.34,43,97.6
36.7,42.25,97.48
36.63,42.31,97.39
36.1,43.25,97.33
35.15,45.88,97.33
33.37,53.75,97.35
31.39,61.5,97.4
30.51,64.44,97.46
29.79,67.88,97.53
29.31,70.62,97.57
28.87,72.88,97.58
28.35,75.62,97.57
27.77,78.81,97.55
27.22,81.69,97.52
26.78,83.56,97.51
26.44,85,97.51
26.18,86.19,97.53
25.97,87.19,97.58
26.48,84.94,97.64
28.61,74.19,97.7
30.59,65,97.75
32.01,59.56,97.76
33.33,55,97.73
34.11,52.25,97.66
34.84,49.88,97.57
35.33,47.88,97.45
35.44,46.75,97.36
34.66,48.69,97.34
33.83,51.81,97.37
32.76,56.69,97.42
31.73,61.88,97.48
31.14,63.62,97.55
30.31,65.94,97.63
29.42,68.06,97.67
28.69,70.81,97.68
28.07,73.38,97.66
27.55,76.06,97.64
26.93,79.69,97.61
26.47,82.88,97.61
26.04,85.94,97.63
25.71,88.38,97.67
25.47,90.25,97.73
26.7,84.88,97.77
29.25,71.88,97.81
31.69,59.88,97.82
33.4,51.75,97.83
34.58,46.62,97.82
35.29,43.44,97.78
35.69,41.56,97.73
35.7,40.5,97.67
35.58,39.38,97.6
34.95,39.44,97.56
33.77,42.06,97.55
31.25,52.75,97.59
30.31,53.94,97.64
30.58,52.19,97.71
29.58,54.81,97.76
28.17,59,97.8
26.98,62.12,97.8
26.33,63,97.78
25.84,64.38,97.75
25.4,66.62,97.71
24.81,70.5,97.67
24.16,74.88,97.65
23.71,78,97.66
23.38,80.44,97.69
24.94,75.31,97.73
27.43,66.38,97.78
31.12,53.31,97.81
34.33,38.88,97.8
35.61,34.88,97.77
36.26,33.38,97.7
36.7,31.88,97.63
36.84,30.62,97.56
36.55,30.12,97.5
35.83,30.44,97.47
34.35,34.62,97.46
30.8,47.5,97.48
29.15,49.75,97.52
28.92,49.25,97.57
28.36,50.44,97.61
27.44,53.5,97.63
26.34,57.94,97.63
25.29,62.56,97.61
24.44,67,97.6
23.79,71.38,97.58
23.32,74.44,97.57
23.03,76.19,97.56
22.77,77.5,97.59
22.76,77.5,97.65
24.34,71.75,97.73
26.24,63.75,97.81
28.8,55.31,97.87
32.95,36.62,97.89
34.68,30.31,97.86
35.44,28.5,97.8
36.02,27.56,97.73
36.3,27.44,97.65
35.98,27.75,97.59
35.23,29.06,97.57
33.96,31.69,97.59
30.69,46.62,97.62
28.99,49.88,97.67
28.4,51.12,97.74
27.55,53.44,97.78
26.05,57.5,97.81
25.01,58.75,97.82
24.17,59.81,97.85
23.41,61.19,97.88
22.93,61.81,97.9
22.78,61.88,97.9
23.37,58.75,97.9
23.45,58.69,97.91
22.32,63.81,97.96
22.94,62.5,98.03
24.66,56.62,98.1
28.39,46.62,98.15
31.44,39,98.17
33.3,35.38,98.15
34.69,32.31,98.09
35.69,30.12,97.98
36.22,28.62,97.88
36.24,27.94,97.8
35.65,28.62,97.76
34.34,31.25,97.75
30.59,46.25,97.78
28.44,50,97.82
27.72,50.88,97.88
27.36,50.75,97.93
27.2,49.88,97.95
26.87,49.94,97.96
26.25,51.31,97.97
25.4,53.81,97.98
24.38,57.12,97.99
23.42,60.25,98
22.65,62.56,98.02
22.11,63.88,98.05
21.74,64.81,98.11
23.04,63.19,98.18
25.87,51.5,98.25
29.33,42.81,98.3
33.37,31.38,98.3
34.85,28.5,98.26
35.67,27.19,98.19
36.15,26.38,98.08
36.26,26.25,97.98
35.91,26.69,97.9
35.13,27.75,97.86
33.56,32,97.86
29.7,45.56,97.89
27.86,48.38,97.95
27.5,47.94,98.02
26.87,48.81,98.06
25.76,51.62,98.07
24.47,55.44,98.05
23.38,58.56,98.02
22.59,60.69,97.99
22.01,62.25,97.94
21.53,63.44,97.92
21.13,64.5,97.94
20.76,65.81,97.98
20.43,67.5,98.05
21.81,64.19,98.12
24.49,54.69,98.21
27.82,47,98.26
32.62,33.31,98.26
34.55,29.81,98.2
35.71,27.81,98.11
36.39,26.56,98.01
36.59,25.81,97.9
36.31,25.56,97.81
35.46,26.19,97.77
33.76,30.31,97.77
29.58,43.12,97.78
27.25,48.56,97.83
26.23,51.19,97.9
25.24,53.31,97.93
24.4,54.62,97.93
23.7,55.31,97.9
23.04,55.75,97.88
22.36,56.94,97.87
21.75,58.69,97.85
21.26,60.19,97.84
20.76,61.69,97.84
20.32,63.12,97.86
19.86,65,97.91
21.15,61.69,97.99
23.74,53.75,98.09
27.48,45.25,98.15
32.21,32.56,98.15
33.98,29.56,98.11
35.16,27.88,98.03
35.93,26.88,97.92
36.23,26.5,97.8
35.94,26.81,97.71
35.11,27.75,97.67
33.51,31.62,97.67
29.43,44.88,97.69
27.12,50.06,97.74
26.11,52.31,97.81
25.08,54.5,97.87
24.13,56.56,97.91
23.15,59,97.92
22.25,61.31,97.92
21.5,63.38,97.92
20.91,65.25,97.89
20.48,66.81,97.86
20.15,68.12,97.84
19.89,68.94,97.84
19.61,69.56,97.87
21.02,64.94,97.93
24.04,54.06,98.01
27.37,46,98.06
32.42,29.69,98.06
34.47,25.06,98.02
35.65,23.06,97.94
36.39,22.19,97.84
36.68,21.88,97.73
36.44,21.94,97.66
35.64,22.5,97.64
33.76,27.88,97.66
29.37,41.81,97.69
28.03,41.88,97.74
27.79,40.88,97.82
27.25,40.56,97.87
26.69,41.62,97.88
26.01,43.25,97.87
25.85,43.56,97.85
24.48,48.12,97.85
23.03,52.81,97.83
21.79,56.88,97.81
20.98,59.12,97.82
20.43,60.25,97.85
20.06,60.69,97.9
21.06,60.44,97.96
24.55,47.25,98.03
27.55,41.12,98.08
32.6,27.19,98.09
34.74,23.69,98.08
35.87,22.69,98.04
36.62,22.12,97.95
36.94,21.69,97.87
36.68,22.06,97.82
35.74,23.81,97.8
33.83,29.5,97.8
29.65,44.25,97.84
28.31,44.94,97.89
28.25,43.12,97.95
27.86,42.94,97.99
26.91,44.88,98.01
25.58,47.94,98.01
24.09,51.5,98
22.91,53.88,97.98
22.06,55.56,97.96
21.46,56.88,97.94
21.05,58.12,97.93
20.77,59.56,97.94
20.61,60.5,97.98
21.57,61.5,98.05
24.71,50.69,98.13
27.94,43.44,98.18
33.09,27.31,98.19
34.97,22.12,98.16
35.94,19.88,98.09
36.55,18.62,98.01
36.69,18.19,97.93
36.24,18.44,97.88
35.13,19.81,97.86
33.03,25.31,97.89
28.65,40.44,97.94
27.29,40.19,98
27.16,38.44,98.07
26.87,36.88,98.12
26.1,37.56,98.15
25.02,40.06,98.15
23.86,43.44,98.15
22.67,47.12,98.14
21.52,50.38,98.12
20.69,52.81,98.12
20.12,54.69,98.12
19.78,56.19,98.14
19.69,56.69,98.19
20.62,57.5,98.25
23.73,46.38,98.32
26.88,39.06,98.36
31.88,26.94,98.35
33.82,22.62,98.32
34.98,20.44,98.24
35.68,18.88,98.15
35.87,18,98.05
35.56,17.88,97.97
34.57,19.12,97.93
32.55,24.44,97.92
27.88,40.5,97.94
26.03,43,97.98
25.52,43.62,98.04
25.26,43.19,98.08
24.9,43,98.1
24.21,44.38,98.1
23.18,47.12,98.09
22.01,50.44,98.08
21.02,53.19,98.05
20.33,55.44,98.04
19.76,57.75,98.05
19.31,59.94,98.07
18.95,61.69,98.1
20.15,60.69,98.15
23.65,49.5,98.21
27.02,42.62,98.25
32.46,28.5,98.23
34.76,23.75,98.18
36.08,21.06,98.09
36.9,19.25,97.98
37.22,18.25,97.87
36.97,17.88,97.81
36.02,18.62,97.8
33.79,24.38,97.82
28.84,37.88,97.86
26.88,39.94,97.93
26.08,40.88,98
25.3,41.75,98.06
24.35,43.31,98.08
23.1,46,98.07
21.96,48.5,98.06
21.02,50.62,98.05
20.32,52.31,98.03
19.81,53.5,98.03
19.43,54.62,98.04
19.08,55.81,98.06
18.69,57.5,98.11
19.56,57.75,98.18
23.35,46.25,98.25
26.37,40.19,98.29
31.57,25.94,98.29
34.42,19.69,98.25
35.66,18.25,98.18
36.41,17.38,98.09
36.62,17.12,98
36.44,17.06,97.94
35.59,18.06,97.92
33.3,24.75,97.93
28.48,38.06,97.96
26.93,39.38,98.03
26.76,38.12,98.08
26.65,36.38,98.13
26.15,35.88,98.15
25.05,37.69,98.16
23.55,42.19,98.18
21.93,47.5,98.2
20.66,51.88,98.2
19.9,54.56,98.19
19.6,55.5,98.2
19.68,54.81,98.22
19.97,53.69,98.25
20.71,53.88,98.31
23.53,46.62,98.39
26.59,39.12,98.45
32.17,23.12,98.45
35.12,16,98.43
36.23,14.75,98.39
36.86,14.25,98.31
36.92,14.5,98.23
36.39,15.44,98.17
35.31,17.25,98.14
32.93,23.94,98.13
28.11,37.56,98.14
26.38,39.94,98.18
25.98,39.69,98.23
25.92,38.25,98.28
25.61,36.88,98.32
24.78,38.25,98.34
23.86,40.44,98.35
23.03,42.81,98.35
22.3,44.94,98.34
21.65,46.62,98.32
21.14,47.94,98.31
20.67,49.25,98.32
20.26,50.56,98.36
20.42,53.62,98.41
23.08,45.56,98.48
26.04,39.5,98.54
31.82,23.75,98.56
34.52,18.5,98.54
35.58,17.56,98.48
36.15,17.19,98.39
36.28,17.25,98.29
35.85,17.75,98.21
34.86,18.94,98.16
32.55,25.19,98.15
27.69,39,98.16
25.79,41.81,98.21
25.1,42.56,98.25
24.91,41.56,98.29
24.92,39.75,98.31
24.68,39.12,98.32
24.09,40.31,98.32
23.15,43.06,98.33
21.98,46.38,98.34
21.02,48.94,98.34
20.43,50.25,98.35
20.13,50.69,98.37
20.02,50.44,98.41
20.46,51.69,98.47
22.95,43.25,98.53
25.9,37.5,98.6
31.09,26.38,98.62
34.3,20.62,98.59
35.49,19.38,98.51
36.15,18.88,98.39
36.37,18.94,98.28
36.11,19.31,98.2
35.28,20.31,98.15
33.13,27.69,98.14
28.54,41.31,98.16
26.6,43.69,98.21
25.64,45.44,98.26
24.86,46.62,98.3
24.25,47.31,98.3
23.73,47.94,98.29
23.18,48.88,98.27
22.57,50.19,98.26
21.94,51.75,98.24
21.42,53.56,98.23
21.08,54.94,98.24
20.73,56.25,98.27
20.33,57.81,98.31
20.92,58.31,98.36
24.43,47.12,98.41
27.49,40.94,98.45
32.18,29.75,98.44
34.16,25.06,98.41
35.09,23.5,98.33
35.68,22.69,98.23
35.83,22.44,98.13
35.47,22.62,98.04
34.5,24,97.99
32.58,28.88,97.98
28.3,43.5,98
26.65,46.31,98.05
26.01,47.19,98.13
25.42,47.81,98.17
24.63,49.12,98.17
23.69,51.25,98.14
22.76,53.62,98.12
21.91,55.94,98.09
21.18,58.12,98.06
20.55,60.12,98.04
19.98,62,98.05
19.5,64.19,98.07
19.06,66.38,98.12
19.9,64.44,98.18
23.23,53.31,98.24
26.58,45.06,98.28
31.79,28.62,98.26
33.99,23.38,98.22
35.2,21.31,98.13
36.02,19.75,98.02
36.41,18.88,97.91
36.14,18.88,97.83
35.2,20.06,97.79
32.9,28.56,97.8
28.93,40.25,97.82
27.73,40,97.88
27.25,38.94,97.94
26.74,38.31,97.98
26.06,38.75,97.99
25.18,40.5,97.98
23.99,43.81,97.97
22.67,47.75,97.95
21.66,50.81,97.93
21.16,52.69,97.91
21.24,52.81,97.9
21.55,51.75,97.93
21.51,51.62,97.97
21.69,53.25,98.03
24.04,46.69,98.09
26.88,39.56,98.13
32.17,25.5,98.14
34.39,21.44,98.1
35.23,20.69,98.01
35.76,20.25,97.9
35.94,20.06,97.79
35.8,20.12,97.72
35.11,20.88,97.69
33.36,27.56,97.7
30.05,37.38,97.74
28.44,37.06,97.8
27.35,39.56,97.87
26.48,41.06,97.92
25.73,42.25,97.95
24.88,44.88,97.94
23.98,48,97.94
23.15,51.19,97.94
22.46,54.5,97.93
22.01,57.38,97.92
21.92,58.69,97.91
22.26,58.62,97.93
22.68,58.19,98.01
23.64,56,98.09
25.26,53.31,98.19
27.87,45.31,98.25
32.96,27,98.26
34.72,23.06,98.23
35.35,22.06,98.14
35.68,21.56,98.06
35.65,21.56,97.96
35.15,22.19,97.9
34.31,23.69,97.88
32.83,31.81,97.89
30.91,34.75,97.92
29.8,35,97.98
28.79,36.62,98.03
27.66,39.69,98.07
26.54,41.94,98.08
25.53,43.94,98.07
24.66,46.38,98.06
23.95,48.56,98.03
23.4,50.5,98.02
22.93,53.12,98.01
22.49,56.31,98.03
22.15,58.94,98.08
21.93,60.44,98.14
22.37,60.5,98.22
24.9,51.25,98.31
26.98,45.62,98.36
31.3,33,98.36
33.74,28.88,98.32
34.77,27.88,98.22
35.38,26.94,98.11
35.56,26.5,98.01
35.35,26.5,97.95
34.61,27.06,97.95
32.73,34.81,97.96
29.21,45.31,98
27.69,46.44,98.06
26.79,47.31,98.12
25.98,48.25,98.15
25.28,49.06,98.17
24.64,49.75,98.15
24.04,49.88,98.13
23.51,49.56,98.11
23.02,49.06,98.09
22.52,49.12,98.09
22.01,49.88,98.11
21.56,51,98.15
21.18,52.44,98.21
21.78,52.31,98.27
24.38,42.19,98.34
26.71,37.62,98.41
31.6,25.5,98.41
34.14,21.44,98.36
35.16,20.31,98.28
35.77,19.5,98.19
35.91,18.88,98.08
35.58,18.69,98.02
34.62,19.31,98
32.27,26.12,98.02
28.27,36.88,98.05
26.81,38.88,98.09
26.03,40.19,98.13
25.35,41.25,98.15
24.58,42.38,98.16
23.74,43.56,98.13
22.88,44.75,98.11
22.07,46.19,98.09
21.3,47.94,98.06
20.59,49.88,98.05
20.06,51.44,98.06
19.76,52.38,98.08
19.63,52.94,98.13
20.39,52.31,98.2
23.96,40,98.26
26.68,33.94,98.33
31.18,21.69,98.36
33.55,15.62,98.35
34.48,14.75,98.3
34.92,14.88,98.21
34.89,15.38,98.12
34.33,16.25,98.06
33.23,17.62,98.03
30.73,26.19,98.04
26.96,36,98.06
25.45,36.81,98.1
24.6,36.69,98.15
23.78,36.62,98.18
22.86,36.88,98.2
21.93,37.44,98.18
21.07,38.25,98.16
20.4,39.06,98.16
19.94,39.81,98.15
19.69,40.44,98.15
19.58,41.12,98.17
19.62,41.19,98.2
19.87,40.25,98.25
20.48,40.38,98.31
23.24,29.56,98.38
25.72,24.81,98.43
30.01,20.56,98.43
32.97,18.56,98.41
34.03,18.62,98.35
34.63,18.62,98.27
34.69,18.88,98.19
34.13,19.56,98.14
33.11,20.69,98.13
30.86,26.5,98.13
26.92,38.44,98.15
25.55,41.06,98.19
25,41.44,98.22
24.51,41.12,98.22
23.7,41.56,98.22
22.65,42.75,98.21
21.6,45.06,98.21
20.73,47.38,98.21
20,48.88,98.19
19.37,50.06,98.18
18.84,51,98.19
18.39,51.62,98.21
17.97,51.94,98.26
18.37,50.69,98.31
21.94,37.94,98.37
24.92,32,98.42
29.76,21.75,98.42
32.55,15.19,98.39
33.6,13.44,98.33
34.15,12.44,98.23
34.37,12.06,98.14
34.14,12.81,98.08
33.35,14.56,98.06
30.64,22.56,98.06
25.96,34.81,98.08
24.51,37.5,98.11
23.62,38.62,98.14
22.71,38.81,98.16
21.83,39,98.16
20.98,40.38,98.15
20.15,43,98.14
19.38,46.06,98.13
18.75,48.38,98.11
18.19,50.38,98.11
17.69,52.25,98.13
17.62,53,98.17
17.33,54.69,98.22
17.83,54.44,98.27
20.83,46.06,98.32
24.01,40.12,98.37
29.16,28.75,98.38
32.43,21,98.35
33.8,18.12,98.28
34.59,16.12,98.18
34.83,14.75,98.08
34.45,14.12,98
33.44,14.06,97.97
30.58,19.12,97.97
25.32,29.5,98
23.45,31.5,98.07
22.4,32.69,98.12
21.48,34.25,98.14
20.69,36.12,98.14
19.9,38.5,98.12
19.18,40.81,98.1
18.55,42.69,98.08
17.97,44.12,98.06
17.43,45.5,98.06
16.93,46.62,98.07
16.5,47.62,98.09
16.12,48.44,98.13
16.53,48.19,98.18
21,36.06,98.23
24.19,29.56,98.27
28.79,22.69,98.3
33.02,12.56,98.29
34.16,10.94,98.23
34.65,10.31,98.14
34.66,10.06,98.07
34.23,10.31,98.03
33.21,11.19,98.03
29.81,20.88,98.06
24.9,30.5,98.11
23.43,31.94,98.18
22.67,32.56,98.25
22,33.06,98.3
21.32,33.69,98.32
20.62,34.56,98.32
19.98,35.44,98.31
19.37,36.31,98.3
18.8,37.12,98.3
18.37,36.62,98.29
17.98,37.31,98.3
17.71,37.69,98.33
17.64,37.88,98.37
18.04,37.38,98.43
20.63,35.69,98.5
23.4,27.5,98.54
27.97,21,98.54
32.83,11.88,98.49
34.17,10.81,98.4
34.8,10.5,98.27
34.92,10.62,98.17
34.52,11.25,98.11
33.57,12.44,98.08
30.12,23.88,98.08
25.9,31.19,98.1
25.23,30.19,98.14
25.25,28.56,98.17
25.22,27.38,98.18
24.78,25.94,98.18
23.71,28.38,98.18
22.28,32.44,98.16
21.03,36.88,98.16
20.46,38.5,98.14
21.07,39.69,98.13
21.1,40.5,98.15
20.46,43.19,98.21
20.21,43.12,98.31
20.85,46.06,98.39
22.8,47.88,98.43
25.08,45.75,98.44
28.66,34.88,98.38
31.57,26.12,98.31
33.4,21.06,98.22
34.57,17.81,98.1
35,16.31,98
34.68,16.12,97.93
33.66,17.38,97.91
30.75,30.38,97.93
26.98,36.31,97.98
25.2,39.19,98.07
23.98,42.44,98.14
22.97,44.88,98.2
22.15,46.25,98.21
21.47,47.12,98.2
20.85,47.88,98.17
20.31,48.25,98.14
19.81,48.31,98.1
19.29,48.38,98.06
18.74,48.81,98.05
18.25,49.38,98.07
17.8,50.19,98.13
18.02,49.88,98.21
22.01,39.06,98.29
25.01,32.69,98.35
29.78,22.69,98.34
32.73,16.38,98.31
33.76,15.25,98.23
34.32,14.88,98.12
34.36,14.94,98.02
34,15.25,97.96
32.98,16.19,97.95
30.04,25.69,97.97
25.83,34.19,98.01
24.74,34.44,98.07
24.45,33.56,98.13
24.29,32.5,98.19
23.87,32,98.21
23.04,32.94,98.21
21.91,35.12,98.2
20.73,37.94,98.17
19.67,40.44,98.14
18.97,42.19,98.12
18.64,43.06,98.11
18.55,43.31,98.13
18.44,43.56,98.17
18.24,44.94,98.22
20.81,40.5,98.29
23.53,32.31,98.33
27.69,25.19,98.34
31.69,16.56,98.32
32.66,14.69,98.25
33.21,13.56,98.16
33.33,13,98.1
32.57,13.31,98.06
31.33,15.12,98.07
27.39,28.62,98.1
24.18,32.25,98.15
23.19,32.44,98.22
22.71,32,98.28
22.08,32.06,98.33
21.28,32.81,98.37
20.46,33.81,98.39
19.62,35.31,98.4
18.8,37.31,98.41
18.08,39.31,98.4
17.8,40.62,98.38
17.93,40.94,98.36
18.25,40.62,98.37
18.54,40.12,98.4
19.18,39.75,98.44
20.47,39.19,98.49
22.5,32.5,98.56
26.43,25.62,98.6
31.23,16.31,98.61
32.63,14.25,98.56
33.28,13.31,98.48
33.41,12.81,98.39
33.03,12.75,98.34
32.04,13.56,98.32
28.19,25.75,98.34
25.07,28.62,98.37
24.75,26.75,98.45
24.8,24.94,98.51
24.34,23.56,98.55
23.3,25.25,98.57
22.11,27.31,98.57
20.59,30.56,98.55
19,35.19,98.54
17.9,38.56,98.53
17.19,41.56,98.53
16.74,43.94,98.53
16.76,43.75,98.54
17.26,41.69,98.58
17.87,40.38,98.64
20.33,37,98.69
22.94,28.88,98.76
26.8,23.62,98.78
31.42,14.25,98.76
32.72,12.81,98.69
33.19,12.75,98.59
33.1,13.19,98.51
32.68,14.06,98.45
31.74,15.38,98.43
28.56,23.31,98.43
24.44,31.5,98.48
23.17,33.5,98.54
22.31,34.94,98.59
21.44,36.25,98.62
20.57,37.5,98.6
19.71,39.12,98.58
18.9,40.88,98.55
18.19,42.62,98.52
17.58,44.25,98.49
17.04,45.88,98.47
16.75,46.62,98.46
16.36,47.75,98.48
15.93,48.88,98.52
16.03,48.62,98.58
19.63,39.19,98.65
22.53,33.38,98.72
27.19,24.06,98.73
30.65,16.56,98.71
31.55,14.88,98.65
32.03,13.88,98.57
32.08,13.38,98.49
31.65,13.25,98.45
30.65,13.88,98.43
27.29,23.31,98.46
23.14,29.88,98.51
21.86,30.81,98.59
21.08,31.31,98.65
20.22,32.19,98.68
19.23,33.62,98.69
18.32,35.25,98.66
17.54,36.81,98.62
16.9,38.06,98.58
16.3,39.25,98.56
15.88,39.75,98.55
15.59,40,98.55
15.3,40.25,98.59
15.09,40.25,98.66
15.22,40.12,98.74
17.98,36,98.82
20.79,28.56,98.87
25.2,21.69,98.88
29.32,14.62,98.84
30.57,13.31,98.75
31.28,12.62,98.65
31.55,12.31,98.56
31.11,12.62,98.5
30.15,13.94,98.49
26.9,25.88,98.52
24.19,26.56,98.57
22.94,27.38,98.65
22.19,28.19,98.71
21.64,28.44,98.73
21,29.06,98.73
20.18,30.44,98.71
19.19,32.56,98.69
18.21,34.44,98.67
